技能名称,标准问题,标准问题的相似度阈值,补充用户问法（多个用##分隔）,"机器人回答(多个用""##""分隔）"
病毒介绍,冠状病毒流行病学的传播途径,0.3,新冠病毒的潜伏期是多久##新冠病毒的主要通过什么来传播,"基于目前的流行病学调查，潜伏期 1-14 天，多为 3-7 天。潜伏期具有传染性，无症状感染者也可能成为传染源，人群普遍易感。

经呼吸道飞沫和密切接触传播是主要的传播途径。由于在粪便及尿中可分离到新型冠状病毒，应注意粪便及尿对环境污染造成气溶胶或接触传播。在相对封闭的环境中长时间暴露于高浓度气溶胶情况下中存在经气溶胶传播的可能。密闭、不通风场所可能存在气溶胶传播风险，需加强预防和隔离处理。"
病毒介绍,冠状病毒重要时间点的消息,0.3,新冠病毒的历史##新冠病毒的时间节点,"2019 年 12 月，湖北省武汉市发现多起 “不明原因肺炎”，随后的患者多有华南海鲜市场暴露史或家庭聚集现象；
2020 年 1 月 7 日 21 时，研究人员在患者标本中检出一种新型冠状病毒；
1 月 10 日 24 时，完成病原核酸检测；
1 月 12 日，世界卫生组织（WHO）将造成武汉肺炎疫情的新型冠状病毒暂命名为 2019 新型冠状病毒（2019-nCoV）；
1 月 30 日，WHO 宣布将新型冠状病毒疫情列为国际关注的突发公共卫生事件。
2 月 7 日，国家卫健委决定将 “新型冠状病毒感染的肺炎” 暂命名为“新型冠状病毒肺炎”，简称“新冠肺炎”。英文名称为“Novel Coronavirus Pneumonia”，简称“NCP”；
2 月 11 日，WHO 将由新型冠状病毒引发的疾病命名为 2019 冠状病毒病，英文名称为 “Corona Virus Disease 2019”，简称 “COVID-19”；
截至 3 月 5 日 24 时，据 31 个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例 23784 例（其中重症病例 5737 例），累计治愈出院病例 53726 例，累计死亡病例 3042 例，累计报告确诊病例 80552 例，现有疑似病例 482 例。累计追踪到密切接触者 670854 人，尚在医学观察的密切接触者 29896 人。累计收到港澳台地区通报确诊病例 158 例：香港特别行政区 104 例（出院 46 例，死亡 2 例），澳门特别行政区 10 例（出院 9 例），台湾地区 44 例 (出院 12 例，死亡 1 例)。"
病毒介绍,哪些人为易感人群,0.3,什么人感染病毒会病情严重##老年人感染病毒后会怎么样,老年人及有基础疾病者感染后病情较重。
病毒介绍,新型冠状病毒的症状有哪些,0.3,如何判断是否患有新冠病毒,"根据国家卫健委《新型冠状病毒感染的肺炎诊疗方案（试行第七版）》，重型、危重型患者病程中可为中低热，甚至无明显发热。轻型患者仅表现为低热、轻微乏力等，无肺炎表现。
典型症状有：
以发热、乏力、干咳为主要表现；
少数患者伴有鼻塞、流涕、咽痛和腹泻等症状；
重症患者多在发病一周后出现呼吸困难和 / 或低氧血症，严重者快速进展为急性呼吸窘迫综合征、脓毒症休克、难以纠正的代谢性酸中毒和凝血功能障碍及多器官功能衰竭。
"
病毒介绍,新型冠状病毒的诱发因素有哪些,0.3,新型冠状病毒是由什么引起的##吃海鲜、野生动物等是否会导致感染,新型冠状病毒是由于人们吃野生动物引起的，野生动物身上携带这种病毒，人们在吃野生动物的时候就会传给人类。
病毒介绍,遇到该冠状病毒是否该就医,0.3,遇到什么情况应该去医院##我发烧了应该去医院吗,"该病为急性感染，常在第一周病情逐步加重，如有以下情况请及时就医：

近期出现不明原因发热、乏力、咳嗽等；
发病前两周内有武汉居住或旅行史；
发病前两周有与确诊患者密切接触史；
呈聚集性发病（2 人及以上）。"
病毒介绍,患者在就诊前应如何做好与医生应答的准备？,0.3,去医院前医生会问什么？,"患者可以在就诊前准备好相应的应答：
什么时候出现发热、咳嗽等症状？
发病前去过哪些地方、接触过哪些人？
身边是否有人有类似症状？
是否有呼吸困难？
有什么基础疾病？"
病毒介绍,如何确定新型冠状病毒的疑似病例,0.3,满足疑似病例的条件有什么##疑似病例有什么临床表现##什么情况下会判断为疑似病例,"疑似病例的确定：
结合下述流行病学史和临床表现综合分析：有流行病学史中的任何一条，且符合临床表现中的任意 2 条。无明确流行病学史的，符合临床表现中的 3 条。

流行病学史
发病前 14 天内有武汉市及周边地区，或其他有病例报告社区的旅行史或居住史；
发病前 14 天内曾接触过来自武汉市及周边地区，或来自有病例报告社区的发热或有呼吸道症状的患者；
发病前 14 天内与新型冠状病毒感染者（核酸检测阳性者）有接触史；
聚集性发病。
临床表现
发热 / 或呼吸道症状；
具有上述肺炎影像学特征；
发病早期白细胞总数正常或降低，或淋巴细胞计数减少。"
病毒介绍,如何确定新型冠状病毒的确诊病例,0.3,什么情况下可以确定得了新冠##新冠确诊的条件是什么,"确诊病例的确定：
满足疑似病例的条件，且具备以下病原学证据之一者：
实时荧光 RT-PCR 检测新型冠状病毒核酸阳性。
病毒基因测序，与已知的新型冠状病毒高度同源。"
病毒介绍,新型冠状病毒的临床分型有哪些,0.3,新冠病毒的表现有哪些##儿童出现新冠病毒的表现有哪些,"轻型
临床症状轻微，影像学未见肺炎表现。

普通型
具有发热、呼吸道等症状，影像学可见肺炎表现。

重型
成人符合下列任何一条：

呼吸窘迫，呼吸频次≥ 30 次 / 分；
静息状态下，指氧饱和度 ≤ 93%；
动脉血氧分压（PaO?）/ 吸氧浓度（FiO?）≤ 300 mmHg（1 mmHg = 0.133kPa），高海拔（海拔超过 1000 米）地区应根据以下公式对 PaO2/FiO2 进行校正：PaO2/FiO2?× [大气压 (mmHg)/760]。
此外，肺部影像学显示 24~48 小时内病灶明显进展 > 50% 者，按重型管理。

儿童符合下列任何一条：

出现气促（＜2 月龄，RR≥60 次 / 分；2～12 月龄，RR≥50 次 / 分；1～5 岁，RR≥40 次 / 分；>5 岁，RR≥30 次 / 分），除外发热和哭闹的影响；
静息状态下氧饱和度≤92%；
辅助呼吸（呻吟、鼻翼扇动、三凹征），发绀，间歇性呼吸暂停；出现嗜睡、惊厥；
拒食或喂养困难，有脱水征。
危重型
符合以下情况之一者：

出现呼吸衰竭，且需要机械通气；
出现休克；
合并其他器官功能衰竭需 ICU 监护治疗。
重型、危重型临床预警指标
成人重型、危重型临床预警指标：

外周血淋巴细胞进行性下降；
外周血炎症因子如 IL-6、C - 反应蛋白进行性上升；
乳酸进行性升高；
肺内病变在短期内迅速进展。
儿童重型、危重型临床预警指标：

呼吸频率增快；
精神反应差、嗜睡；
乳酸进行性升高；
影像学显示双侧或多肺叶浸润、胸腔积液或短期内病变快速进展者；
3 月龄以下的婴儿或有基础疾病（先天性心脏病、支气管肺发育不良、呼吸道畸形、异常血红蛋白、重度营养不良等）、有免疫缺陷或低下（长期使用免疫抑制剂）者。"
病毒介绍,感染新型冠状病毒应选择何就诊科室?,0.3,感染后应该去哪里就诊##我应当到什么地方看病,感染新型冠状病毒应选择发热门诊、感染科、重症监护室。
病毒介绍,新型冠状病毒的相关检查方式有哪些？,0.3,新冠检查项目有哪些##到医院会检查哪些项目,"医生查体
主要针对肺部进行相应检查，听诊呼吸音等。

实验室检查
发病早期外周血白细胞总数正常或降低，淋巴细胞计数减少；
部分患者肝酶、乳酸脱氢酶（LDH）、肌酶和肌酸激酶等升高；
部分危重者可见肌钙蛋白增高；
多数患者 C 反应蛋白（CRP）和血沉升高、降钙素原正常；
严重者 D - 二聚体升高、外周血淋巴细胞进行性减少。
影像学检查
早期呈现多发小斑片影及间质改变，以肺外带明显。进而发展为双肺多发磨玻璃影、浸润影，严重者可出现肺实变，胸腔积液少见。

特殊检查
病原体检测，采集咽拭子、痰液或下呼吸道分泌物标本，进行实时荧光 RT-PCR，其结果为新型冠状病毒核酸检测阳性。或病原体基因测序提示与新型冠状病毒高度同源。为提高核酸检测阳性率，建议尽可能留取痰液，实施气管插管患者采集下呼吸道分泌物，标本采集后尽快送检。"
病毒介绍,医生会如何进行鉴别诊断？,0.3,如何鉴别是否感染新型冠状病毒肺炎？##怎么判断得了新型冠状病毒肺炎？##我有没有感染新型冠状病毒肺炎?,"医生将从多个方面进行详细检查进行判断：

新型冠状病毒感染轻型表现需与其它病毒引起的上呼吸道感染相鉴别；
新型冠状病毒肺炎主要与流感病毒、腺病毒、呼吸道合胞病毒等其他已知病毒性肺炎及肺炎支原体感染鉴别，尤其是对疑似病例要尽可能采取包括快速抗原检测和多重 PCR 核酸检测等方法，对常见呼吸道病原体进行检测；
还要与非感染性疾病，如血管炎、皮肌炎和机化性肺炎等鉴别。"
病毒介绍,新型冠状病毒的治疗方式有哪些？,0.3,通过什么方式可以治好新冠病毒##如何杀死新冠病毒,"目前，缺乏针对病原体的有效抗病毒药物，以隔离治疗、对症支持治疗为主。

根据国家卫健委发布的《新型冠状病毒感染的肺炎诊疗方案（试行第七版）》：对于重型、危重型病例，在对症治疗的基础上，积极防治并发症，治疗基础疾病，预防继发感染，及时进行器官功能支持。 采取以下方式进行治疗：

呼吸支持：包括氧疗、高流量鼻导管氧疗或无创机械通气、有创机械通气和挽救治疗。挽救治疗针对严重 ARDS 患者，建议进行肺复张。在人力资源充足的情况下，每天应进行 12 小时以上的俯卧位通气。俯卧位通气效果不佳者，如条件允许，应尽快考虑体外膜肺氧合（ECMO）。
循环支持：充分液体复苏的基础上，改善微循环，使用血管活性药物，必要时进行血流动力学监测。进行无创或有创血流动力学监测，在救治过程中，注意液体平衡策略，避免过量和不足。
肾功能衰竭和肾替代治疗：除了查找肾功能损伤的原因外，对于肾功能衰竭的重症患者可选择连续性肾替代治疗（CRRT）。
康复者血浆治疗：建议适用于病情进展较快、重型和危重型患者。用法用量参考《新冠肺炎康复者恢复期血浆临床治疗方案（试行第一版）》。
血液净化治疗：血液净化系统包括血浆置换、吸附、灌流、血液 / 血浆滤过等，能清除炎症因子，从而减轻炎症反应对机体的损伤，可用于重型、危重型患者细胞因子风暴的早中期的救治。
其他治疗措施：儿童重型、危重型病例可酌情考虑使用静脉滴注丙种球蛋白。妊娠合并重型或危重型患者应积极终止妊娠，剖腹产为首选。患者常存在焦虑恐惧情绪，应加强心理疏导。"
病毒介绍,急性期患者应如何治疗？,0.3,呼吸困难怎么办##无法吸取氧气的急救办法,有缺氧、呼吸困难的患者，应及时给予氧疗（如鼻导管吸氧、面罩吸氧），必要时给予无创或有创呼吸机支持。
病毒介绍,一般患者该如何治疗?,0.3,感染后如何防护##感染后需要注意的项目有哪些,"卧床休息，加强支持治疗，保证充分热量；注意水、电解质平衡，维持内环境稳定；密切监测生命体征、指氧饱和度等。
根据病情监测血常规、尿常规、C - 反应蛋白（CRP）、生化指标（肝酶、心肌酶、肾功能等）、凝血功能，必要时行动脉血气分析，复查胸部影像学。
根据氧饱和度的变化，及时给予有效氧疗措施，包括鼻导管、面罩给氧，必要时经鼻高流量氧疗、无创或有创机械通气等。
有条件可采用氢氧混合吸入气（H2/O2 : 66.6%/33.3%）治疗。"
病毒介绍,应如何是用药物治疗？,0.3,吃哪些药可以治疗新冠病毒##阻止病毒的药物推荐,"抗病毒治疗：可试用α- 干扰素雾化吸入、洛匹那韦 / 利托那韦、利巴韦林、磷酸氯喹和阿比多尔，利巴韦林建议与干扰素或洛匹那韦 / 利托那韦联合应用。要注意上述药物的不良反应、禁忌症以及与其他药物的相互作用等问题。
试用药物的疗程均不超过 10 天。建议在临床应用中进一步评价目前所试用药物的疗效。不建议同时应用 3 种及以上抗病毒药物，出现不可耐受的毒副作用时应停止使用相关药物。
抗菌药物治疗：避免盲目或不恰当使用抗菌药物，尤其是联合使用广谱抗菌药物。
其他：根据患者呼吸困难程度、胸部影像学进展情况，在医生指导下酌情短期内（3～5 天）使用糖皮质激素。
对孕产妇患者的治疗应考虑妊娠周数，尽可能选择对胎儿影响较小的药物，以及是否终止妊娠后再进行治疗的问题，并知情告知。"
病毒介绍,中医能否治疗新型冠状病毒肺炎？,0.3,吃什么中药能治冠状病毒##防病毒的中药有哪些,该疾病的中医治疗暂时缺乏循证医学证据支持。根据国家卫健委发布的《新型冠状病毒感染的肺炎诊疗方案（试行第六版）》，各地可根据病情、当地气候特点以及不同体质等情况，可参照推荐的方案进行辨证论治。建议到正规医疗机构，在医师指导下治疗。
病毒介绍,新型冠状病毒肺炎的预后情况如何？,0.3,治疗成功后的情况有哪些##接受治疗后患者情况如何,从目前收治的病例情况看，多数患者预后良好，少数患者病情危重。老年人和有慢性基础疾病者预后较差。患有新型冠状病毒肺炎的孕产妇临床过程与同龄患者相近。儿童病例症状相对较轻。
病毒介绍,新型冠状病毒肺炎是否会产生后遗症?,0.3,新冠病毒治疗成功后会出现其他症状吗##可以完全治愈新冠病毒吗,"根据《2019 新型冠状病毒肺炎呼吸康复指导意见》：

轻症隔离及普通型出院患者：多数患者肺功能损害轻微或无持续残留的肺功能问题，较少产生身体功能障碍。
重型 / 危重型出院患者：可能会有全身虚弱、呼吸急促导致身体功能受限，肺功能表现为限制性通气障碍，与胸部 CT 的检查显示的肺纤维化改变一致，此改变可能持续存在。
以上所述新型冠状病毒肺炎后遗症尚需要大量病例总结和观察。"
病毒介绍,患者康复需要多长时间？,0.3,什么时候可以治好我的病##有没有具体的治疗时间,个别重症患者可能会有肺纤维化，康复需要较长时间。
病毒介绍,新型冠状病毒肺炎有无并发症？,0.3,新冠病毒还会引起其他的疾病吗##新冠病毒还会影响那些器官##新冠病毒还会带来的危害有哪些,重症病例患者可合并急性呼吸窘迫综合征、脓毒症休克、难以纠正的代谢性酸中毒以及凝血功能障碍等。
病毒介绍,新型冠状病毒会否以家庭为单位聚集？,0.3,一个人得病一家人会不会都得病##和家里人在一起有没有影响##是不是应该独居,新型冠状病毒肺炎存在家庭聚集现象，有疑似症状则及时至传染科就诊，需要在具备有效隔离条件和防护条件的医院隔离治疗。
病毒介绍,应如何养成日常生活习惯以避免感染新型冠状病毒肺炎?,0.3,如何注意个人饮食和生活方式？##抽烟能预防新型冠状病毒吗##每天在家应该做些什么,"饮食
不食用野生动物（即野味），禽、肉、蛋要充分煮熟后食用；
注意营养、避免偏食、保证摄入食物多样化，尤其是新鲜蔬菜、水果等；
养成良好饮食习惯，按时按量用餐，避免暴饮暴食。
运动
积极锻炼，控制体重。此外，适度运动也有助于提高免疫力。

生活方式
戒烟、限酒；
保证充足睡眠、注意休息、避免熬夜；
关注心理健康，注意缓解紧张情绪、减轻心理压力。"
病毒介绍,如何进行日常病情监测?,0.3,遇到什么情况需要及时就诊？##我想自我确定是否感染了病毒##出现发热、乏力、咳嗽等症状该怎么办,"注意监测体温，如有发热、乏力、咳嗽等症状及时就诊。如发病前两周内有疫源地（武汉市）居住或旅行史、有与确诊或疑似患者接触病史，或者有集体发病表现，需及时就诊并主动隔离。根据《新型冠状病毒肺炎诊疗方案（试行第六版）》出院后注意事项如下：

定点医院要做好与患者居住地基层医疗机构间的联系，共享病历资料，及时将出院患者信息推送至患者辖区或居住地居委会和基层医疗卫生机构。
患者出院后，因恢复期机体免疫功能低下，有感染其它病原体风险，建议应继续进行 14 天自我健康状况监测，佩戴口罩，有条件的居住在通风良好的单人房间，减少与家人的近距离密切接触，分餐饮食，做好手卫生，避免外出活动。
建议在出院后第 2 周、第 4 周到医院随访、复诊。"
